Product Name,Brand,Picture,Color,品番,Category,category2,Season,残量,購入日,Boards,Notes,値段
ヌーゼロクッション,ロムアンド,,,04BEIGE23,ベースメイク,ファンデーション,,3,,,,
ブラック クッション ファンデーション (リフィル),HERA,87149522b_20919_d_500.jpg (https://v5.airtableusercontent.com/v3/u/50/50/1772344800000/aQvVTbbjRhvJtPNTTXthng/D5jH8PV9iuNPh5sakGC6MCxkWqvGTODTAqiQwc4wGvyLLIgq7WPywp43qvu8WJFyvHDMgDGxsoDI8N98wB2Y1KevoVsViL5vqYrbJPn-cIluML3SicAgbSh6_TH4YORXMTmkQPNyPX4JNybtgFoHTiBq2TO2zzj9KD4dxFDOzWaJw5plZU8GiCKqJaLz1aVd/24Ij9XnavzkyL9xEvs0CqbR8B4qhJtuVRv2JO15OHNI),,23N1,ベースメイク,ファンデーション,,,2026/3/1,,,
,アバウトトーン,,,03NATURAL,ベースメイク,パウダー,,8,,,,
モイスチャー,T-FIT,,,,ベースメイク,パウダー,,10,,,,
ノーセバムモイスチャー,イニスフリー,,,モイスチャー,ベースメイク,パウダー,,3,,,,
,T-FIT,,,,ベースメイク,パウダー,,10,,,,
,T-FIT,,,,ベースメイク,パウダー,,3,,,,
,エスポア,,,#01,ベースメイク,アイブロウ,,4,,,,
スーパースリムアイブロウ,セザンヌ,,,#06,ベースメイク,アイブロウ,,4,,,,
,エスポア,,,#06,ベースメイク,アイブロウ,,3,,,,
,ミノン,,,,スキンケア,乳液,,3,,,,
白潤プレミアム,,,,,スキンケア,化粧水,,5,,,,
ツボクサ,セザンヌ,,,,スキンケア,化粧水,,3,,,,
ライスブライトニングパッド,スキンフード,,,,スキンケア,パッド,,2,,,,
スペシャルケアクリームEX,アクアレーベル,,,ブライトニング,スキンケア,スペシャルケア,,2,,,,
,,,,,スキンケア,スペシャルケア,,7,,,,
薬用バーム,IHADA,,,,スキンケア,スペシャルケア,,6,,,,
ラッシュジェリードロップEX,マジョマジョ,,,,スキンケア,マスカラ美容液,,,,,,
,オルビス,,,,スキンケア,ヘアミルク,,6,,,,
ポイントリペア,プリュスオー,,,エクストラハード,スキンケア,ヘアセット,,5,,,,
スピーディーマスカラリムーバー,ヒロインメイク,,,,スキンケア,リムーバー,,,,,,
,資生堂,,,,その他,,,7,,,,
,無印,,,,その他,除光液,,5,,,,
ハードナー,ロムアンド,,,#03,その他,マニキュア,,3,,,,
レニューセンシティブ,ボシュロム,,,,その他,コンタクト洗浄液,,10,,,,
フェリエ,パナソニック,,,,その他,シェーバー,,,,,,
ホットカッター,不明,,,,その他,シェーバー,,,,,,
